"date","north_value","east_value"
"2014-02-21","67329.5191","55342.5834"
"2014-02-22","67329.5198","55342.5821"
"2014-02-23","67329.518","55342.5822"
"2014-02-24","67329.5194","55342.583"
"2014-02-25","67329.5178","55342.5819"
"2014-02-26","67329.519","55342.5824"
"2014-02-27","67329.5192","55342.5824"
"2014-02-28","67329.5193","55342.5821"
"2014-03-01","67329.5187","55342.582"
"2014-03-02","67329.5193","55342.5821"
"2014-03-03","67329.5186","55342.5817"
"2014-03-04","67329.5189","55342.5828"
"2014-03-05","67329.5185","55342.582"
"2014-03-06","67329.5186","55342.5822"
"2014-03-07","67329.5176","55342.5844"
"2014-03-08","67329.5178","55342.584"
"2014-03-09","67329.5176","55342.5806"
"2014-03-10","67329.5187","55342.5821"
"2014-03-11","67329.5187","55342.5816"
"2014-03-12","67329.5185","55342.582"
"2014-03-13","67329.5189","55342.5819"
"2014-03-14","67329.5169","55342.5815"
"2014-03-15","67329.5195","55342.5829"
"2014-03-16","67329.5177","55342.582"
"2014-03-17","67329.5187","55342.5818"
"2014-03-18","67329.5187","55342.5809"
"2014-03-19","67329.5186","55342.5813"
"2014-03-20","67329.5176","55342.5814"
"2014-03-21","67329.518","55342.5812"
"2014-03-22","67329.5186","55342.5808"
"2014-03-23","67329.5185","55342.5822"
"2014-03-24","67329.5185","55342.5813"
"2014-03-25","67329.5183","55342.5821"
"2014-03-26","67329.5188","55342.5811"
"2014-03-27","67329.5165","55342.5818"
"2014-03-28","67329.5186","55342.5813"
"2014-03-29","67329.5183","55342.5829"
"2014-03-30","67329.5167","55342.582"
"2014-03-31","67329.5188","55342.5809"
"2014-04-01","67329.5182","55342.5816"
"2014-04-02","67329.517","55342.5811"
"2014-04-03","67329.5166","55342.5836"
"2014-04-04","67329.5184","55342.5795"
"2014-04-05","67329.5186","55342.5809"
"2014-04-06","67329.5193","55342.582"
"2014-04-07","67329.5173","55342.5826"
"2014-04-08","67329.5171","55342.5827"
"2014-04-09","67329.5172","55342.5819"
"2014-04-10","67329.5159","55342.5806"
"2014-04-11","67329.5185","55342.5808"
"2014-04-12","67329.5146","55342.584"
"2014-04-13","67329.518","55342.5809"
"2014-04-14","67329.5179","55342.5816"
"2014-04-15","67329.5194","55342.5824"
"2014-04-16","67329.5177","55342.5826"
"2014-04-17","67329.5171","55342.5832"
"2014-04-18","67329.5188","55342.5811"
"2014-04-19","67329.518","55342.5806"
"2014-04-20","67329.5174","55342.5838"
"2014-04-21","67329.5156","55342.5799"
"2014-04-22","67329.5121","55342.5794"
"2014-04-23","67329.5196","55342.582"
"2014-04-24","67329.5168","55342.5825"
"2014-04-25","67329.5147","55342.5824"
"2015-09-04","67329.5135","55342.5852"
"2015-09-05","67329.5132","55342.5843"
"2015-09-06","67329.5169","55342.5838"
"2015-09-07","67329.5163","55342.5817"
"2015-09-08","67329.5164","55342.5843"
"2015-09-09","67329.5155","55342.5821"
"2015-09-10","67329.5155","55342.5816"
"2015-09-11","67329.5135","55342.5841"
"2015-09-12","67329.5148","55342.5852"
"2015-09-13","67329.5115","55342.5811"
"2015-09-14","67329.5152","55342.5831"
"2015-09-15","67329.5119","55342.5826"
"2015-09-16","67329.5139","55342.5845"
"2015-09-17","67329.5151","55342.5835"
"2015-09-18","67329.5144","55342.587"
"2015-09-19","67329.515","55342.5843"
"2015-09-20","67329.5191","55342.5826"
"2015-09-21","67329.5159","55342.5834"
"2015-09-22","67329.5172","55342.583"
"2015-09-23","67329.5154","55342.5842"
"2015-09-24","67329.5148","55342.5842"
"2015-09-25","67329.5172","55342.5845"
"2015-09-26","67329.5154","55342.5844"
"2015-09-27","67329.5128","55342.5883"
"2015-09-28","67329.5152","55342.5843"
"2015-09-29","67329.5155","55342.584"
"2015-09-30","67329.5163","55342.5833"
"2015-10-01","67329.517","55342.5801"
"2015-10-02","67329.5144","55342.5844"
"2015-10-03","67329.5147","55342.5855"
"2015-10-04","67329.5153","55342.584"
"2015-10-05","67329.5145","55342.5839"
"2015-10-06","67329.5158","55342.5848"
"2015-10-07","67329.5164","55342.5836"
"2015-10-08","67329.5151","55342.5843"
"2015-10-09","67329.5163","55342.5832"
"2015-10-10","67329.5149","55342.5839"
"2015-10-11","67329.5171","55342.5828"
"2015-10-12","67329.5161","55342.5834"
"2015-10-13","67329.5141","55342.5823"
"2015-10-14","67329.514","55342.5783"
"2015-10-15","67329.5161","55342.5834"
"2015-10-16","67329.5133","55342.5828"
"2015-10-17","67329.5131","55342.5805"
"2015-10-18","67329.515","55342.5828"
"2015-10-19","67329.516","55342.5842"
"2015-10-20","67329.516","55342.585"
"2015-10-21","67329.5144","55342.5849"
"2015-10-22","67329.5177","55342.585"
"2015-10-23","67329.5158","55342.5847"
"2015-10-24","67329.5166","55342.585"
"2015-10-25","67329.5165","55342.5841"
"2015-10-26","67329.5179","55342.584"
"2015-10-27","67329.5173","55342.5842"
"2015-10-28","67329.5177","55342.5837"
"2015-10-29","67329.5163","55342.5837"
"2015-10-30","67329.5152","55342.5841"
"2015-10-31","67329.5152","55342.5842"
"2015-11-01","67329.5113","55342.5852"
"2015-11-02","67329.5147","55342.5834"
"2015-11-03","67329.5215","55342.5841"
"2015-11-04","67329.5176","55342.584"
"2015-11-05","67329.5189","55342.5815"
"2015-11-06","67329.5171","55342.5845"
"2015-11-07","67329.5169","55342.5799"
"2015-11-08","67329.5139","55342.5819"
"2015-11-09","67329.517","55342.5856"
"2015-11-10","67329.5179","55342.5846"
"2015-11-11","67329.5154","55342.5839"
"2015-11-12","67329.5154","55342.5833"
"2015-11-13","67329.5149","55342.5861"
"2015-11-14","67329.517","55342.5834"
"2015-11-15","67329.5136","55342.583"
"2015-11-16","67329.5161","55342.5826"
"2015-11-17","67329.5173","55342.582"
"2015-11-18","67329.5144","55342.5805"
"2015-11-19","67329.5127","55342.58"
"2015-11-20","67329.5129","55342.5765"
"2015-11-21","67329.5178","55342.5843"
"2015-11-22","67329.5179","55342.5842"
"2015-11-23","67329.516","55342.585"
"2015-11-24","67329.5164","55342.584"
"2015-11-25","67329.517","55342.5842"
"2015-11-26","67329.516","55342.5841"
"2015-11-27","67329.517","55342.5841"
"2015-11-28","67329.5162","55342.5847"
"2015-11-29","67329.5164","55342.5848"
"2015-11-30","67329.5171","55342.5833"
"2015-12-01","67329.5165","55342.584"
"2015-12-02","67329.5164","55342.5844"
"2015-12-03","67329.5164","55342.5841"
"2015-12-04","67329.5154","55342.5829"
"2015-12-05","67329.5157","55342.5849"
"2015-12-06","67329.5135","55342.5847"
"2015-12-07","67329.5171","55342.5842"
"2015-12-08","67329.5182","55342.5839"
"2015-12-09","67329.5168","55342.577"
"2015-12-10","67329.5172","55342.5813"
"2015-12-11","67329.5188","55342.582"
"2015-12-12","67329.5197","55342.5816"
"2015-12-13","67329.5195","55342.5817"
"2015-12-14","67329.5174","55342.5831"
"2015-12-15","67329.5175","55342.5838"
"2015-12-16","67329.5175","55342.5838"
"2015-12-17","67329.5182","55342.584"
"2015-12-18","67329.5168","55342.5859"
"2015-12-19","67329.5185","55342.5865"
"2015-12-20","67329.5172","55342.5864"
"2015-12-21","67329.5144","55342.5838"
"2015-12-22","67329.5152","55342.583"
"2015-12-23","67329.519","55342.5901"
"2015-12-24","67329.5224","55342.5846"
"2015-12-25","67329.5189","55342.5836"
"2015-12-26","67329.5178","55342.5841"
"2015-12-27","67329.5178","55342.5848"
"2015-12-28","67329.5174","55342.5838"
"2015-12-29","67329.5169","55342.5839"
"2015-12-30","67329.5175","55342.5845"
"2015-12-31","67329.5184","55342.5838"
"2016-01-01","67329.518","55342.5845"
"2016-01-02","67329.5171","55342.5845"
"2016-01-03","67329.518","55342.5848"
"2016-01-04","67329.5176","55342.5834"
"2016-01-05","67329.5183","55342.5836"
"2016-01-06","67329.5175","55342.5837"
"2016-01-07","67329.5176","55342.5835"
"2016-01-08","67329.5186","55342.5841"
"2016-01-09","67329.5184","55342.5842"
"2016-01-10","67329.5177","55342.5838"
"2016-01-11","67329.5166","55342.5836"
"2016-01-12","67329.518","55342.584"
"2016-01-13","67329.5182","55342.5843"
"2016-01-14","67329.5183","55342.5835"
"2016-01-15","67329.518","55342.584"
"2016-01-16","67329.518","55342.5858"
"2016-01-17","67329.5127","55342.5815"
"2016-01-18","67329.518","55342.5846"
"2016-01-19","67329.5181","55342.584"
"2016-01-20","67329.5179","55342.5828"
"2016-01-21","67329.5182","55342.5838"
"2016-01-22","67329.518","55342.5843"
"2016-01-23","67329.5174","55342.5837"
"2016-01-24","67329.518","55342.5845"
"2016-01-25","67329.5176","55342.5844"
"2016-01-26","67329.5181","55342.5844"
"2016-01-27","67329.507","55342.5873"
"2016-01-28","67329.5156","55342.5823"
"2016-01-29","67329.5166","55342.581"
"2016-01-30","67329.519","55342.5837"
"2016-01-31","67329.5168","55342.583"
"2016-02-01","67329.5181","55342.5855"
"2016-02-02","67329.5193","55342.5843"
"2016-02-03","67329.5185","55342.584"
"2016-02-04","67329.5183","55342.5845"
"2016-02-05","67329.5181","55342.5847"
"2016-02-06","67329.5182","55342.5839"
"2016-02-07","67329.5182","55342.5842"
"2016-02-08","67329.5184","55342.5862"
"2016-02-09","67329.5184","55342.582"
"2016-02-10","67329.5196","55342.5862"
"2016-02-11","67329.5184","55342.5847"
