"date","north_value","east_value"
"2015-09-04","12813.2833","-73148.196"
"2015-09-05","12813.2841","-73148.1966"
"2015-09-06","12813.2836","-73148.194"
"2015-09-07","12813.2851","-73148.1959"
"2015-09-08","12813.2857","-73148.197"
"2015-09-09","12813.2851","-73148.1981"
"2015-09-10","12813.2859","-73148.1951"
"2015-09-11","12813.285","-73148.1948"
"2015-09-12","12813.2839","-73148.1964"
"2015-09-13","12813.2834","-73148.195"
"2015-09-14","12813.2847","-73148.1959"
"2015-09-15","12813.2834","-73148.1964"
"2015-09-16","12813.2846","-73148.1951"
"2015-09-17","12813.2837","-73148.1959"
"2015-09-18","12813.2815","-73148.1945"
"2015-09-19","12813.2838","-73148.1958"
"2015-09-20","12813.2858","-73148.1962"
"2015-09-21","12813.2841","-73148.1973"
"2015-09-22","12813.2841","-73148.1961"
"2015-09-23","12813.2849","-73148.1953"
"2015-09-24","12813.285","-73148.1953"
"2015-09-25","12813.2825","-73148.1952"
"2015-09-26","12813.2843","-73148.1959"
"2015-09-27","12813.283","-73148.195"
"2015-09-28","12813.282","-73148.1956"
"2015-09-29","12813.2828","-73148.1957"
"2015-09-30","12813.2837","-73148.1958"
"2015-10-01","12813.2832","-73148.1956"
"2015-10-02","12813.2829","-73148.1946"
"2015-10-03","12813.2835","-73148.1954"
"2015-10-04","12813.2826","-73148.1958"
"2015-10-05","12813.2835","-73148.1953"
"2015-10-06","12813.2826","-73148.1949"
"2015-10-07","12813.2825","-73148.1942"
"2015-10-08","12813.2835","-73148.1945"
"2015-10-09","12813.2838","-73148.1954"
"2015-10-10","12813.2839","-73148.1957"
"2015-10-11","12813.2834","-73148.1957"
"2015-10-12","12813.2837","-73148.1952"
"2015-10-13","12813.283","-73148.1955"
"2015-10-14","12813.2833","-73148.1946"
"2015-10-15","12813.283","-73148.1963"
"2015-10-16","12813.2844","-73148.1961"
"2015-10-17","12813.2839","-73148.194"
"2015-10-18","12813.2839","-73148.1955"
"2015-10-19","12813.2843","-73148.1948"
"2015-10-20","12813.2844","-73148.1952"
"2015-10-21","12813.2838","-73148.195"
"2015-10-22","12813.2857","-73148.1903"
"2015-10-23","12813.2841","-73148.194"
"2015-10-24","12813.2835","-73148.1941"
"2015-10-25","12813.2848","-73148.1957"
"2015-10-26","12813.2848","-73148.1946"
"2015-10-27","12813.284","-73148.1954"
"2015-10-28","12813.2844","-73148.1945"
"2015-10-29","12813.2833","-73148.195"
"2015-10-30","12813.2824","-73148.1948"
"2015-10-31","12813.284","-73148.1947"
"2015-11-01","12813.2833","-73148.194"
"2015-11-02","12813.2826","-73148.195"
"2015-11-03","12813.2898","-73148.1927"
"2015-11-04","12813.2845","-73148.1948"
"2015-11-05","12813.2859","-73148.1948"
"2015-11-06","12813.284","-73148.1939"
"2015-11-07","12813.2857","-73148.1933"
"2015-11-08","12813.2841","-73148.1938"
"2015-11-09","12813.2841","-73148.1933"
"2015-11-10","12813.285","-73148.1943"
"2015-11-11","12813.2839","-73148.1934"
"2015-11-12","12813.2844","-73148.1935"
"2015-11-13","12813.2844","-73148.1905"
"2015-11-14","12813.2859","-73148.1941"
"2015-11-15","12813.283","-73148.1935"
"2015-11-16","12813.2834","-73148.1934"
"2015-11-17","12813.2842","-73148.1944"
"2015-11-18","12813.2837","-73148.194"
"2015-11-19","12813.2849","-73148.1941"
"2015-11-20","12813.2846","-73148.1939"
"2015-11-21","12813.2842","-73148.1939"
"2015-11-22","12813.2849","-73148.1936"
"2015-11-23","12813.2844","-73148.1933"
"2015-11-24","12813.2842","-73148.1937"
"2015-11-25","12813.2841","-73148.1937"
"2015-11-26","12813.2843","-73148.1935"
"2015-11-27","12813.2851","-73148.1939"
"2015-11-28","12813.2839","-73148.1941"
"2015-11-29","12813.2844","-73148.1933"
"2015-11-30","12813.2845","-73148.194"
"2015-12-01","12813.2846","-73148.1938"
"2015-12-02","12813.2837","-73148.194"
"2015-12-03","12813.2843","-73148.1935"
"2015-12-04","12813.284","-73148.1938"
"2015-12-05","12813.2856","-73148.189"
"2015-12-06","12813.2824","-73148.1925"
"2015-12-07","12813.2842","-73148.1931"
