"date","north_value","east_value"
"2014-11-22",120977.4264,-103727.6249
"2015-01-20",120977.4201,-103727.6281
"2015-01-25",120977.4246,-103727.6276
"2015-01-27",120977.4258,-103727.6265
"2015-01-29",120977.4258,-103727.6284
"2015-02-01",120977.4251,-103727.6289
"2015-02-02",120977.4254,-103727.6283
"2015-02-09",120977.4248,-103727.6274
"2015-02-10",120977.4254,-103727.6278
"2015-09-04",120977.4224,-103727.6241
"2015-09-05",120977.4238,-103727.6241
"2015-09-06",120977.4246,-103727.6255
"2015-09-07",120977.423,-103727.6259
"2015-09-08",120977.4231,-103727.6236
"2015-09-09",120977.422,-103727.624
"2015-09-10",120977.4217,-103727.6253
"2015-09-11",120977.4236,-103727.625
"2015-09-12",120977.4245,-103727.6253
"2015-09-13",120977.4246,-103727.6249
"2015-09-14",120977.4237,-103727.6251
"2015-09-15",120977.4241,-103727.6237
"2015-09-16",120977.424,-103727.6245
"2015-09-17",120977.4253,-103727.6245
"2015-09-18",120977.4253,-103727.6238
"2015-09-19",120977.4241,-103727.625
"2015-09-20",120977.423,-103727.6234
"2015-09-21",120977.4232,-103727.6232
"2015-09-22",120977.4237,-103727.6245
"2015-09-23",120977.423,-103727.6231
"2015-09-24",120977.4236,-103727.6251
"2015-09-25",120977.4253,-103727.6248
"2015-09-26",120977.4243,-103727.6247
"2015-09-27",120977.4248,-103727.6266
"2015-09-28",120977.4245,-103727.6248
"2015-09-29",120977.4246,-103727.6242
"2015-09-30",120977.4235,-103727.6241
"2015-10-01",120977.4245,-103727.6249
"2015-10-02",120977.4238,-103727.625
"2015-10-03",120977.4239,-103727.6246
"2015-10-04",120977.4215,-103727.6239
"2015-10-05",120977.4235,-103727.6248
"2015-10-06",120977.4251,-103727.625
"2015-10-07",120977.4243,-103727.6268
"2015-10-08",120977.423,-103727.6253
"2015-10-09",120977.4234,-103727.6254
"2015-10-10",120977.4235,-103727.6228
"2015-10-11",120977.424,-103727.6248
"2015-10-12",120977.4236,-103727.6249
"2015-10-13",120977.424,-103727.6246
"2015-10-14",120977.4239,-103727.6248
"2015-10-15",120977.4239,-103727.6233
"2015-10-16",120977.4236,-103727.6233
"2015-10-17",120977.4238,-103727.6241
"2015-10-18",120977.4253,-103727.6235
"2015-10-19",120977.4225,-103727.6233
"2015-10-20",120977.4225,-103727.6242
"2015-10-21",120977.4209,-103727.6218
"2015-10-22",120977.4249,-103727.6213
"2015-10-23",120977.4266,-103727.6193
"2015-10-24",120977.4235,-103727.6249
"2015-10-25",120977.4221,-103727.6246
"2015-10-26",120977.4232,-103727.6242
"2015-10-27",120977.4231,-103727.6234
"2015-10-28",120977.4225,-103727.6239
"2015-10-29",120977.4223,-103727.6239
"2015-10-30",120977.4223,-103727.6239
"2015-10-31",120977.423,-103727.6234
"2015-11-01",120977.4244,-103727.6249
"2015-11-02",120977.4242,-103727.6244
"2015-11-03",120977.4241,-103727.6247
"2015-11-04",120977.4243,-103727.6244
"2015-11-05",120977.4221,-103727.6253
"2015-11-06",120977.4231,-103727.6253
"2015-11-07",120977.4223,-103727.6263
"2015-11-08",120977.4246,-103727.6254
"2015-11-09",120977.4234,-103727.6243
"2015-11-10",120977.4228,-103727.6245
"2015-11-11",120977.424,-103727.6252
"2015-11-12",120977.4231,-103727.6256
"2015-11-13",120977.4231,-103727.6225
"2015-11-14",120977.4222,-103727.6245
"2015-11-15",120977.4219,-103727.6252
"2015-11-16",120977.4226,-103727.6241
"2015-11-17",120977.4225,-103727.6245
"2015-11-18",120977.423,-103727.6244
"2015-11-19",120977.4216,-103727.6239
"2015-11-20",120977.4246,-103727.624
"2015-11-21",120977.4241,-103727.6245
"2015-11-22",120977.4226,-103727.6247
"2015-11-23",120977.4228,-103727.6244
"2015-11-24",120977.4227,-103727.6245
"2015-11-25",120977.4227,-103727.6249
"2015-11-26",120977.4219,-103727.6245
"2015-11-27",120977.4222,-103727.6241
"2015-11-28",120977.4232,-103727.6242
"2015-11-29",120977.4225,-103727.625
"2015-11-30",120977.4227,-103727.624
"2015-12-01",120977.4227,-103727.6248
"2015-12-02",120977.4229,-103727.6247
"2015-12-03",120977.422,-103727.6245
"2015-12-04",120977.4233,-103727.6245
"2015-12-05",120977.4217,-103727.6257
"2015-12-06",120977.4222,-103727.6246
"2015-12-07",120977.4229,-103727.6252
"2015-12-08",120977.424,-103727.6259
"2015-12-09",120977.4236,-103727.6252
"2015-12-10",120977.4226,-103727.625
"2015-12-11",120977.4234,-103727.6249
"2015-12-12",120977.4233,-103727.6248
"2015-12-13",120977.4238,-103727.6247
"2015-12-14",120977.4238,-103727.6248
"2015-12-15",120977.4213,-103727.626
"2015-12-16",120977.4235,-103727.6258
"2015-12-17",120977.4231,-103727.6259
"2015-12-18",120977.4232,-103727.6258
"2015-12-19",120977.4242,-103727.6267
"2015-12-20",120977.4232,-103727.6262
"2015-12-21",120977.4232,-103727.6251
"2015-12-22",120977.4231,-103727.6261
"2015-12-23",120977.423,-103727.6247
"2015-12-24",120977.424,-103727.6249
"2015-12-25",120977.4236,-103727.6259
"2015-12-26",120977.423,-103727.6263
"2015-12-27",120977.4233,-103727.6257
"2015-12-28",120977.4238,-103727.6267
"2015-12-29",120977.4225,-103727.625
"2015-12-30",120977.4234,-103727.6243
"2015-12-31",120977.4219,-103727.6251
"2016-01-01",120977.4231,-103727.6257
"2016-01-02",120977.4212,-103727.6246
"2016-01-03",120977.4229,-103727.625
"2016-01-04",120977.424,-103727.6256
"2016-01-05",120977.4244,-103727.6244
"2016-01-06",120977.4233,-103727.6244
"2016-01-07",120977.4231,-103727.6248
"2016-01-08",120977.4237,-103727.6255
"2016-01-09",120977.4232,-103727.6242
"2016-01-10",120977.4231,-103727.6256
"2016-01-11",120977.4242,-103727.6253
"2016-01-12",120977.4241,-103727.6249
"2016-01-13",120977.4237,-103727.625
"2016-01-14",120977.4233,-103727.6243
"2016-01-15",120977.424,-103727.6249
"2016-01-16",120977.4223,-103727.625
"2016-01-17",120977.4237,-103727.6253
"2016-01-18",120977.4243,-103727.625
"2016-01-19",120977.4238,-103727.624
"2016-01-20",120977.424,-103727.6244
"2016-01-21",120977.4233,-103727.6244
"2016-01-22",120977.4238,-103727.6244
"2016-01-23",120977.4239,-103727.625
"2016-01-24",120977.4248,-103727.6243
"2016-01-25",120977.4242,-103727.6244
"2016-01-26",120977.4236,-103727.6241
"2016-01-27",120977.425,-103727.6271
"2016-01-28",120977.4262,-103727.6247
"2016-01-29",120977.4252,-103727.626
"2016-01-30",120977.4262,-103727.6256
"2016-01-31",120977.4247,-103727.6244
"2016-02-01",120977.4248,-103727.6244
"2016-02-02",120977.4253,-103727.6242
"2016-02-03",120977.4242,-103727.6242
"2016-02-04",120977.4241,-103727.6245
"2016-02-05",120977.423,-103727.6258
"2016-02-06",120977.4241,-103727.6256
"2016-02-07",120977.4238,-103727.6249
"2016-02-08",120977.4231,-103727.6244
"2016-02-09",120977.4253,-103727.624
"2016-02-10",120977.4264,-103727.6244
"2016-02-11",120977.424,-103727.6216
"2016-02-12",120977.4246,-103727.6242
"2016-02-13",120977.4244,-103727.6244
"2016-02-14",120977.4238,-103727.6245
"2016-02-15",120977.4243,-103727.6249
"2016-02-16",120977.4244,-103727.624
"2016-02-17",120977.4249,-103727.6247
"2016-02-18",120977.4242,-103727.625
"2016-02-19",120977.4242,-103727.625
"2016-02-20",120977.4241,-103727.6251
"2016-02-21",120977.4239,-103727.6242
"2016-02-22",120977.4233,-103727.6249
"2016-02-23",120977.4236,-103727.624
"2016-02-24",120977.4232,-103727.6242
"2016-02-25",120977.4222,-103727.625
"2016-02-26",120977.4231,-103727.6242
"2016-02-27",120977.4247,-103727.6236
"2016-02-28",120977.4235,-103727.6227
"2016-02-29",120977.4235,-103727.6244
"2016-03-01",120977.4232,-103727.6246
"2016-03-02",120977.4241,-103727.624
"2016-03-03",120977.4238,-103727.623
"2016-03-04",120977.4236,-103727.6222
"2016-03-05",120977.424,-103727.6234
"2016-03-06",120977.4236,-103727.6225
"2016-03-07",120977.4239,-103727.6236
"2016-03-08",120977.4239,-103727.6256
"2016-03-09",120977.4237,-103727.6232
"2016-03-10",120977.4238,-103727.6239
"2016-03-11",120977.4241,-103727.625
"2016-03-12",120977.4235,-103727.6237
"2016-03-13",120977.4246,-103727.6248
"2016-03-14",120977.4259,-103727.6233
"2016-03-15",120977.4229,-103727.6229
"2016-03-16",120977.4222,-103727.6262
"2016-03-17",120977.4236,-103727.6256
"2016-03-18",120977.4247,-103727.6257
"2016-03-19",120977.4247,-103727.6243
"2016-03-20",120977.4231,-103727.624
"2016-03-21",120977.4239,-103727.6246
"2016-03-22",120977.4234,-103727.6242
"2016-03-23",120977.423,-103727.6254
"2016-03-24",120977.4232,-103727.6249
"2016-03-25",120977.4242,-103727.6254
"2016-03-26",120977.4241,-103727.6248
"2016-03-27",120977.4229,-103727.6258
"2016-03-28",120977.424,-103727.6256
"2016-03-29",120977.4241,-103727.6232
"2016-03-30",120977.4231,-103727.6252
"2016-03-31",120977.423,-103727.625
"2016-04-01",120977.424,-103727.6252
"2016-04-02",120977.4229,-103727.6255
"2016-04-03",120977.4236,-103727.6236
"2016-04-04",120977.4215,-103727.6243
"2016-04-05",120977.4235,-103727.6237
"2016-04-06",120977.4227,-103727.6234
"2016-04-07",120977.4229,-103727.6252
"2016-04-08",120977.4245,-103727.6254
"2016-04-09",120977.4216,-103727.6242
"2016-04-10",120977.424,-103727.6246
"2016-04-11",120977.4235,-103727.6245
"2016-04-12",120977.4245,-103727.624
"2016-04-13",120977.4236,-103727.624
"2016-04-14",120977.4227,-103727.624
"2016-04-15",120977.4237,-103727.6233
