"date","north_value"
"2014-02-21","67329.5191"
"2014-02-22","67329.5198"
"2014-02-23","67329.518"
"2014-02-24","67329.5194"
"2014-02-25","67329.5178"
"2014-02-26","67329.519"
"2014-02-27","67329.5192"
"2014-02-28","67329.5193"
"2014-03-01","67329.5187"
"2014-03-02","67329.5193"
"2014-03-03","67329.5186"
"2014-03-04","67329.5189"
"2014-03-05","67329.5185"
"2014-03-06","67329.5186"
"2014-03-07","67329.5176"
"2014-03-08","67329.5178"
"2014-03-09","67329.5176"
"2014-03-10","67329.5187"
"2014-03-11","67329.5187"
"2014-03-12","67329.5185"
"2014-03-13","67329.5189"
"2014-03-14","67329.5169"
"2014-03-15","67329.5195"
"2014-03-16","67329.5177"
"2014-03-17","67329.5187"
"2014-03-18","67329.5187"
"2014-03-19","67329.5186"
"2014-03-20","67329.5176"
"2014-03-21","67329.518"
"2014-03-22","67329.5186"
"2014-03-23","67329.5185"
"2014-03-24","67329.5185"
"2014-03-25","67329.5183"
"2014-03-26","67329.5188"
"2014-03-27","67329.5165"
"2014-03-28","67329.5186"
"2014-03-29","67329.5183"
"2014-03-30","67329.5167"
"2014-03-31","67329.5188"
"2014-04-01","67329.5182"
"2014-04-02","67329.517"
"2014-04-03","67329.5166"
"2014-04-04","67329.5184"
"2014-04-05","67329.5186"
"2014-04-06","67329.5193"
"2014-04-07","67329.5173"
"2014-04-08","67329.5171"
"2014-04-09","67329.5172"
"2014-04-10","67329.5159"
"2014-04-11","67329.5185"
"2014-04-12","67329.5146"
"2014-04-13","67329.518"
"2014-04-14","67329.5179"
"2014-04-15","67329.5194"
"2014-04-16","67329.5177"
"2014-04-17","67329.5171"
"2014-04-18","67329.5188"
"2014-04-19","67329.518"
"2014-04-20","67329.5174"
"2014-04-21","67329.5156"
"2014-04-22","67329.5121"
"2014-04-23","67329.5196"
"2014-04-24","67329.5168"
"2014-04-25","67329.5147"
"2015-09-04","67329.5135"
"2015-09-05","67329.5132"
"2015-09-06","67329.5169"
"2015-09-07","67329.5163"
"2015-09-08","67329.5164"
"2015-09-09","67329.5155"
"2015-09-10","67329.5155"
"2015-09-11","67329.5135"
"2015-09-12","67329.5148"
"2015-09-13","67329.5115"
"2015-09-14","67329.5152"
"2015-09-15","67329.5119"
"2015-09-16","67329.5139"
"2015-09-17","67329.5151"
"2015-09-18","67329.5144"
"2015-09-19","67329.515"
"2015-09-20","67329.5191"
"2015-09-21","67329.5159"
"2015-09-22","67329.5172"
"2015-09-23","67329.5154"
"2015-09-24","67329.5148"
"2015-09-25","67329.5172"
"2015-09-26","67329.5154"
"2015-09-27","67329.5128"
"2015-09-28","67329.5152"
"2015-09-29","67329.5155"
"2015-09-30","67329.5163"
"2015-10-01","67329.517"
"2015-10-02","67329.5144"
"2015-10-03","67329.5147"
"2015-10-04","67329.5153"
"2015-10-05","67329.5145"
"2015-10-06","67329.5158"
"2015-10-07","67329.5164"
"2015-10-08","67329.5151"
"2015-10-09","67329.5163"
"2015-10-10","67329.5149"
"2015-10-11","67329.5171"
"2015-10-12","67329.5161"
"2015-10-13","67329.5141"
"2015-10-14","67329.514"
"2015-10-15","67329.5161"
"2015-10-16","67329.5133"
"2015-10-17","67329.5131"
"2015-10-18","67329.515"
"2015-10-19","67329.516"
"2015-10-20","67329.516"
"2015-10-21","67329.5144"
"2015-10-22","67329.5177"
"2015-10-23","67329.5158"
"2015-10-24","67329.5166"
"2015-10-25","67329.5165"
"2015-10-26","67329.5179"
"2015-10-27","67329.5173"
"2015-10-28","67329.5177"
"2015-10-29","67329.5163"
"2015-10-30","67329.5152"
"2015-10-31","67329.5152"
"2015-11-01","67329.5113"
"2015-11-02","67329.5147"
"2015-11-03","67329.5215"
"2015-11-04","67329.5176"
"2015-11-05","67329.5189"
"2015-11-06","67329.5171"
"2015-11-07","67329.5169"
"2015-11-08","67329.5139"
"2015-11-09","67329.517"
"2015-11-10","67329.5179"
"2015-11-11","67329.5154"
"2015-11-12","67329.5154"
"2015-11-13","67329.5149"
"2015-11-14","67329.517"
"2015-11-15","67329.5136"
"2015-11-16","67329.5161"
"2015-11-17","67329.5173"
"2015-11-18","67329.5144"
"2015-11-19","67329.5127"
"2015-11-20","67329.5129"
"2015-11-21","67329.5178"
"2015-11-22","67329.5179"
"2015-11-23","67329.516"
"2015-11-24","67329.5164"
"2015-11-25","67329.517"
"2015-11-26","67329.516"
"2015-11-27","67329.517"
"2015-11-28","67329.5162"
